"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U0305_41 - BALLYGELAGH RD1: LOUGHDOO RD C259 TO QUARTER RD U310 -  ARDS","ARDS","Surface Type",3421,3421,363060,358562
"7065U9400_03 - CHURCH RD2: CHURCH WK TO JUNCTION WITH NEW RD -  ARDS","ARDS","Surface Type",25,25,358274,372479
"7065C0254_02 - BALLYBLACK RD1: BOWTOWN RD U126 TO BALLYCASTLE RD U124 -  ARDS","ARDS","Surface Type",1235,1235,353558,372919
"7065C0254_02 - BALLYBLACK RD1: BOWTOWN RD U126 TO BALLYCASTLE RD U124 -  ARDS","ARDS","Surface Type",1475,1475,353796,372903
"7065A0020_21 - PORTAFERRY RD GREY1: BALLYBRYAN RD U122 TO INISHARGIE RD C257 -  ARDS","ARDS","Surface Type",1816,1816,359457,364306
"7065C0271_05 - BEECHVALE1: KILLYLEAGH RD A22 TO CHURCHILL RD U321 -  ARDS","ARDS","Surface Type",153,153,349912,360672
"7065C0271_05 - BEECHVALE1: KILLYLEAGH RD A22 TO CHURCHILL RD U321 -  ARDS","ARDS","Surface Type",230,230,349989,360672
"7065U9107_03 - RIVERSIDE1: U9107_01 CASTLE LN TO END HSE 8 -  ARDS","ARDS","Surface Type",68,68,345514,369615
"7065U9108_19 - DERMOTT AV1: U9108 19 NEWTOWNARDS RD CDS TO END -  ARDS","ARDS","Surface Type",74,74,346962,369522
"7065U9109_04 - CHERRYVALLEY DR1: DE WIND DR TO END -  ARDS","ARDS","Surface Type",118,118,346562,369153
"7065U9203_11 - BARNAGH PK1: CDS3 BARNAGH PK TO END -  ARDS","ARDS","Surface Type",5,5,358676,379683
"7065A0021_19 - NEWTOWNARDS RD41: START OF DUAL C/WAY TO A0021 52 NEWTOWNARDS RD RBT (TO COMBER) -  ARDS","ARDS","Surface Type",2443,2443,347107,369500
"7065U0161_41 - MOUNTAIN RD1: CRAWFORDSBURN RD C251 TO WHITEWAYS -  ARDS","ARDS","?",769,769,348452,376314
"7065B0005_04 - GREYABBEY RD1: TULLYKEVIN RD U120 TO MAIN ST A2 -  ARDS","ARDS","Surface Type",2536,2536,362807,368942
"7065U9400_22 - CASTLE COTTAGE CL: SOUTH END AT HSE 27 TO NORTH END AT HSE 45 -  ARDS","ARDS","Surface Type",67,67,358134,372379
"7065A0021_13 - BALLYGOWAN RD3: HILLSBOROUGH RD B178 TO RAILWAY ST -  ARDS","ARDS","Surface Type",92,92,344349,367824
"7065A0022_21 - BELFAST RD 41: BELFAST RD TO BALLYRAINEY RD C266 -  ARDS","ARDS","Surface Type",826,826,344553,370688
"7065U0132_41 - STOCKBRIDGE RD1: WARREN RD A2 TO HIGH BANGOR RD -  ARDS","ARDS","Surface Type",265,265,356809,381990
"7065C0251_02 - CRAWFORDSBURN RD3: HARDFOFD LK TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",648,648,348296,375234
"7065U0227_43 - BALLYBEEN RD1: BALLYBEEN RD U226 TO BALLYCREELY RD U217 -  ARDS","ARDS","Surface Type",38,38,342053,367074
"7065U0232_41 - BALLYSTOCKART RD1: HILLHEAD RD C269 TO GLEN RD C270 -  ARDS","ARDS","Surface Type",1945,1945,342981,369768
"7065C0268_02 - MAGHERASCOUSE RD D2: LOUGHVIEW RD U246 TO BALLYNICHOL RD -  ARDS","ARDS","Surface Type",315,315,344669,365157
"7065U0310_41 - BLACKSTAFF RD1: GRANSHA RD U140 TO BALLYGELAGH RD U305 -  ARDS","ARDS","Surface Type",879,879,361350,359377
"7065A0002_53 - BALLYWALTER RD  41: GANAWAY RD U151 TO WOBURN RD U114 -  ARDS","ARDS","Surface Type",2241,2241,361002,374312
"7065C0269_01 - HILLHEAD RD3: BELFAST RD A22 TO BOUNDARY -  ARDS","ARDS","Surface Type",178,178,343984,371263
"7065U9010_11 - BEECH DR1: GLENBROOK RD TO END -  ARDS","ARDS","Surface Type",81,81,348565,374799
"7065U9014_78 - CAIRNDORE GDNS: U9014 74 CAIRNDORE RD TO END -  ARDS","ARDS","Surface Type",77,77,350622,374523
"7065A0020_18 - PORTAFERRY RD NEWT2: MOUNTSTEWART RD C256 TO SPRING LN U160 -  ARDS","ARDS","Surface Type",2814,2814,356112,368815
"7065A0021_31 - ZION PL 41: ZION PL RBT TO GEORGE ST RBT -  ARDS","ARDS","Surface Type",39,39,349556,374180
"7065U0163_42 - BUSH RD1: MOAT RD U1327 TO PORTAVOGIE RD C261 -  ARDS","ARDS","Surface Type",1032,1032,365534,363174
"7065U9014_30 - STRATHEDEN HTS1: STRATHEDEN HTS TO GRANGEVILLE PK -  ARDS","ARDS","Surface Type",4,4,350976,374469
"7065C0263_04 - BELFAST RD8: BALLYBARNES RD U104 TO MILECROSS RD U101 -  ARDS","ARDS","Surface Type",1227,1227,347012,374848
"7065B0173_02 - RUBANE RD1: GRANSHA RD U140 TO BOG RD U320 -  ARDS","ARDS","Surface Type",295,295,361897,360957
"7065U9006_17 - ALDERGRANGE AV1: START SE TO END NW -  ARDS","ARDS","Surface Type",23,23,347690.56,374240.81
