"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U6300_78 - OLD COACH WAY1: B0006 07 TODDS HILL TO END -  DOWN","DOWN","Surface Type",172,172,341019,358947
"7065U0208_02 - CORRIGS RD1: CARNACAVILL RD B180 TO CASTLEWELLAN RD A50 -  DOWN","DOWN","Surface Type",1015,1015,337295,333389
"7065U4356_01 - BANNANSTOWN RD1: C0323 04 LEITRIM RD TO DRUMBUCK RD DIV BOUNDARY -  DOWN","DOWN","Surface Type",456,456,331361,338491
"7065U4356_01 - BANNANSTOWN RD1: C0323 04 LEITRIM RD TO DRUMBUCK RD DIV BOUNDARY -  DOWN","DOWN","Surface Type",3438,3438,333837,337733
"7065U0378_01 - RAFFREY RD1: CARRICKMANNON RD C272 TO BOUNDARY -  DOWN","DOWN","Surface Type",1248,1248,346591,359223
"7065B0001_03 - ARDGLASS RD2: CREWE RD C283 TO BALLEE RD C285 RHS -  DOWN","DOWN","Surface Type",1516,1516,353252,339641
"7065U6900_02 - HARMONY PK CDS1: HARMONY PK TO END -  DOWN","DOWN","Surface Type",1,1,339882,348549
"7065U6300_65 - STATION MEWS CDS: STATION MEWS TO END -  DOWN","DOWN","Surface Type",52,52,340958,359033
"7065U0173_01 - TAREESH LN1: TECONNAUGHT RD TO LOUGHINISLAND RD C278 -  DOWN","DOWN","Surface Type",1578,1578,343184,346873
"7065U6002_22 - CATHEDRAL VW2: U0318 03 VIANSTOWN RD TO U6002 26 CATHEDRAL VW -  DOWN","DOWN","Surface Type",140,140,348495,343670
"7065C0293_08 - DUNMORE RD1: CARNREAGH RD C293 TO MAGHERAHAMLET RD C290 -  DOWN","DOWN","Surface Type",505,505,335398,345935
"7065U0347_47 - ANNSFIELD PK1: ANNSFIELD PK TO END -  DOWN","DOWN","Surface Type",71,71,351893,352285
"7065C0277_03 - SCADDY RD1: KILLYLEAGH RD B7 TO TURMENNAN RD U353 -  DOWN","DOWN","Surface Type",884,884,348574,351726
"7065B0007_27 - RATHFRILAND RD5: C0308 03 FINNIS RD TO U4197 01 DECHOMET RD -  DOWN","DOWN","Surface Type",178,178,326993,345747
"7065A0002_01 - KILKEEL RD1: KINGDOM OF MOURNE SIGN TO KING ST -  DOWN","DOWN","Surface Type",61,61,338698,328368
"7065A0025_12 - MARKET ST3: IRISH ST TO LEISURE CENTRE EXIT ROAD -  DOWN","DOWN","Surface Type",105,105,348592,344539
"7065U6205_03 - MOURNE GREEN1: DUNDRUM RD A2 TO END -  DOWN","DOWN","Surface Type",120,120,337756,332107
"7065U6201_29 - TULLYBRANNIGAN AV1: U6201 27 TULLYBRANNIGAN WAY TO END -  DOWN","DOWN","Surface Type",58,58,336867,331369
"7065U6009_03 - KENNEDY SQUARE1: FOUNTAIN ST TO END -  DOWN","DOWN","Surface Type",13,13,348875,344604
"7065A0024_14 - BELFAST RD10: OLD BELFAST RD LHS TO SAINTFIELD RD A21 (1st exit) -  DOWN","DOWN","Surface Type",171,171,336737,353943
"7065U6011_31 - ST DYMPNAS AV1: ORIEL DR TO END -  DOWN","DOWN","Surface Type",31,31,349438,343728
"7065A0025_15 - DOWNPATRICK RD5: BALLYROLLY RD C287 TO MAIN ST A24 RBT -  DOWN","DOWN","Surface Type",846,846,342220,340939
"7065U0119_01 - GROVE RD1: DROMARA RD U167 TO SPA RD B175 -  DOWN","DOWN","Surface Type",585,585,335482,351247
"7065U4356_01 - BANNANSTOWN RD1: C0323 04 LEITRIM RD TO DRUMBUCK RD DIV BOUNDARY -  DOWN","DOWN","Surface Type",118,118,331053,338409
"7065U0128_01 - GUINESS RD1: DRUMNAQUOILE RD C376 TO DUNMORE RD U129 -  DOWN","DOWN","Surface Type",405,405,334337,344798
"7065U0378_01 - RAFFREY RD1: CARRICKMANNON RD C272 TO BOUNDARY -  DOWN","DOWN","Surface Type",1148,1148,346558,359128
"7065U0386_01 - BROOMHILL RD1: CHERRYHILL RD U383 TO DUNMORE RD B175 -  DOWN","DOWN","Surface Type",1144,1144,337156,348665
"7065B0001_03 - ARDGLASS RD2: CREWE RD C283 TO BALLEE RD C285 RHS -  DOWN","DOWN","Surface Type",1389,1389,353340,339552
"7065A0024_07 - DRUMANESS RD2: DRUMANESS RD C388 TO DOWNPATRICK RD B2 -  DOWN","DOWN","Surface Type",2630,2630,337763,350682
"7065B0180_10 - BRYANSFORD RD2: MILL RD C320 TO DRUMBONIFF RD BDRY -  DOWN","DOWN","Surface Type",144,144,327435,331034
"7065U0347_01 - GROVE PK3: DOWNPATRICK RD A22 TO END -  DOWN","DOWN","Surface Type",3,3,352154,352358
"7065B0180_09 - BRYANSFORD RD2: BOG RD U219 TO MILL RD C320 -  DOWN","DOWN","Surface Type",1884,1884,327603,331104
"7065C0290_02 - DEMESNE RD2: MANSE RD U139 TO EDENDARRIFF RD B175 -  DOWN","DOWN","Surface Type",1284,1284,339296,342489
"7065U6008_03 - ARDENLEE GDS1: EAST TO WEST -  DOWN","DOWN","Surface Type",240,240,350158,345655
