Permit No.,Division,Event Date,Address,From,To
DPW1404977,3,8/31/2014,707 WATT LN,BEDFORD AVE,WEBSTER AVE
DPW1405038,2,8/31/2014,908 WELLESLEY RD,WELLESLEY AVE,CUL DE SAC
DPW1402518,3,8/31/2014,5510 DARLINGTON RD,MURDOCH,WHITMAN
DPW1404679,4,8/31/2014,0 CLIMAX ST,WALTER,HELEN WAY
DPW1404821,3,8/31/2014,173 DEVILLIERS ST,DEVILLIERS ST,SWEENY ST
DPW1404868,2,8/31/2014,7082 LEMINGTON AVE,LEMINGTON AVE,MONTEZUMA ST
DPW1404971,2,8/31/2014,1222 N SHERIDAN AVE,BRYANT,GRAFTON
DPW1302910,3,9/1/2013,5510 DARLINGTON RD,MURDOCH,WHITMAN
DPW1306199,4,9/1/2013,137 ZARA ST,KNOX,CHALROCK WAY
DPW1305758,2,9/1/2013,921 WELLESLEY RD,WELLESLEY AVE,CUL DE SAC
DPW1305552,2,9/1/2013,1222 N SHERIDAN AVE,BRYANT,GRAFTON
DPW1305544,2,9/1/2013,7082 LEMINGTON AVE,LEMINGTON AVE,MONTEZUMA ST
DPW1305509,3,9/1/2013,2 ROBERTS ST,REED ST AVE,CENTRE AVE
DPW1305308,4,9/1/2013,0 CLIMAX ST,WALTER,HELEN WAY
DPW1305316,1,9/2/2013,3250 BAINTON ST,JUPITER WAY,RICHARDSON AVE
DPW1305971,3,9/2/2013,272 ANITA AVE,FERNWALD,GILDA
DPW1404852,2,9/2/2014,4947 WALLINGFORD ST,DEVONSHIRE AVE,MOREWOOD AVE
DPW1404350,3,9/5/2014,3107 HAMLET ST,CRAFT,BLVD OF THE ALLIES
DPW1305353,3,9/6/2013,3107 HAMLET ST,CRAFT,BLVD OF THE ALLIES
DPW1405263,3,9/6/2014,5454 ALBEMARLE AVE,FORBES AVE,SQUIRELL HILL AVE
DPW1405057,3,9/6/2014,1422 SEVERN ST,WILKINS,NORTHUMBERLAND
DPW1405198,2,9/6/2014,7114 MEADE ST,N LANG AVE,N HOMEWOOD AVE
DPW1404838,1,9/6/2014,120 PARKHURST ST,SANDUSKY ST,LORAINE ST
DPW1404430,1,9/6/2014,3104 NORWOOD AVE,NORWOOD RD,VILLAGE PARK
DPW1405319,2,9/6/2014,415 STRATTON LN,WALNUT,HOWE
DPW1404998,4,9/6/2014,578 DORCHESTER AVE,KNOWLSON,MIDLAND
DPW1306105,2,9/7/2013,7114 MEADE ST,N LANG AVE,N HOMEWOOD AVE
DPW1306303,,9/7/2013,MT VERNON ST,NORTH HOMEWOOD,NORTH LANG
DPW1305322,5,9/7/2013,509 RIDGEMONT DR,SPRINGFIELD,
DPW1305925,2,9/7/2013,5536 BEVERLY PL,NORTH NEGLEY AVENUE,KING AVENUE
DPW1306228,2,9/7/2013,415 STRATTON LN,WALNUT,HOWE
DPW1304565,4,9/7/2013,731 EXCELSIOR ST,MILBRIDGE,ALLEN
DPW1305105,3,9/7/2013,1422 SEVERN ST,WILKINS,NORTHUMBERLAND
DPW1305324,3,9/7/2013,4151 WINDSOR ST,LILAC,KENNEBEC
DPW1305840,1,9/7/2013,3104 NORWOOD AVE,NORWOOD RD,VILLAGE PARK
DPW1404885,3,9/7/2014,5507 DUNMOYLE AVE,KIPLING,WIGHTMAN
DPW1405194,3,9/7/2014,0 FERNWALD RD,BEECHWOOD BLVD,ANITA
DPW1405249,3,9/7/2014,1214 BENNINGTON AVE,FAIR OAKS,MAYNARD
