OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
94,3,3,202,1990,20233,1116,944,0, ,0
95,2,8,196,1994,19682,1074,940,0, ,0
96,0,1,199,2003,19910,1098,851,0, ,0
97,2,0,151,1990,15102,0257,915,0, ,0
98,1,2,196,1994,19621,1050,940,0, ,0
99,3,5,196,1994,19653,1063,940,0, ,0
100,2,0,144,1992,14402,0219,868,0, ,0
101,2,2,196,1994,19622,1051,940,0, ,0
102,4,0,144,1992,14404,0221,868,0, ,0
103,2,3,202,1990,20232,1115,944,0, ,0
104,1,8,196,1994,19681,1073,940,0, ,0
105,4,4,202,1990,20244,1122,944,0, ,0
106,5,0,172,1992,17205,0409,925,0, ,0
107,2,5,196,1994,19652,1062,940,0, ,0
108,2,0,190,1990,19002,0998,880,0, ,0
109,13,0,172,1992,172013,0417,925,0, ,0
110,5,3,202,1990,20235,1118,944,0, ,0
111,1,0,141,0,14101,0203,910,0, ,0
112,2,0,121,1992,12102,0111,815,0, ,0
113,4,3,202,1990,20234,1117,944,0, ,0
114,1,0,101,0,10101,0001,901,0, ,0
115,2,0,207,1990,20702,1167,853,0, ,0
116,1,0,207,1990,20701,1166,853,0, ,0
117,2,5,202,1990,20252,1125,944,0, ,0
118,3,4,202,1990,20243,1121,944,0, ,0
119,1,0,121,1992,12101,0110,815,0, ,0
120,3,0,172,1992,17203,0407,925,0, ,0
121,4,5,196,1994,19654,1064,940,0, ,0
122,3,2,196,1994,19623,1052,940,0, ,0
123,1,0,184,0,18401,0521,846,0, ,0
124,1,3,202,1990,20231,1114,944,0, ,0
125,4,0,207,1990,20704,1169,853,0, ,0
126,9,0,172,1992,17209,0413,925,0, ,0
127,5,0,144,1992,14405,0222,868,0, ,0
128,3,8,196,1994,19683,1075,940,0, ,0
129,1,0,172,1992,17201,0405,925,0, ,0
130,1,4,202,1990,20241,1119,944,0, ,0
