Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95II23,WYNCHURCH,CASTLEREAGH,610,30,20,40,150,20,30,50,40,230
95JJ01,AGIVEY,COLERAINE,700,30,30,50,210,30,40,30,50,230
95JJ02,ATLANTIC,COLERAINE,910,60,70,60,220,60,80,50,40,260
95JJ03,BALLYSALLY,COLERAINE,880,90,80,90,100,160,100,80,60,120
95JJ04,CASTLEROCK,COLERAINE,980,40,40,60,280,60,50,60,50,350
95JJ05,CENTRAL (COLERAINE),COLERAINE,880,70,70,80,180,60,60,60,40,270
95JJ06,CHURCHLAND,COLERAINE,880,70,70,100,160,80,90,80,40,200
95JJ07,CROSS GLEBE,COLERAINE,990,90,80,80,160,110,110,80,50,230
95JJ08,DUNDOOAN,COLERAINE,890,40,30,70,240,30,40,60,60,310
95JJ09,DUNLUCE,COLERAINE,690,20,20,40,240,10,20,30,50,270
95JJ10,GARVAGH,COLERAINE,880,50,50,70,210,50,70,40,40,310
95JJ11,HOPEFIELD,COLERAINE,1090,40,50,70,330,40,70,50,60,380
95JJ12,KILREA,COLERAINE,790,60,50,60,180,60,80,50,40,210
95JJ13,KNOCKLYNN,COLERAINE,980,60,40,70,250,70,70,70,50,300
95JJ14,MACOSQUIN,COLERAINE,690,30,40,60,200,50,40,30,50,210
95JJ15,MOUNT SANDEL,COLERAINE,760,40,40,30,210,40,40,30,40,290
95JJ16,PORTSTEWART,COLERAINE,730,50,40,50,170,50,40,30,30,270
95JJ17,RINGSEND,COLERAINE,690,40,30,50,200,30,40,50,40,200
95JJ18,ROYAL PORTRUSH,COLERAINE,870,60,80,80,210,50,40,40,50,270
95JJ19,STRAND (COLERAINE),COLERAINE,770,20,20,30,240,20,30,30,40,350
95JJ20,THE CUTS,COLERAINE,1170,70,60,90,300,70,80,80,80,350
95JJ21,UNIVERSITY,COLERAINE,810,50,50,90,180,60,60,60,50,230
95JJ22,WATERSIDE,COLERAINE,880,20,20,40,280,40,30,30,60,350
95KK01,ARDBOE,COOKSTOWN,800,50,70,110,140,50,90,70,40,190
95KK02,COAGH,COOKSTOWN,630,20,40,60,160,30,40,30,50,190
95KK03,DUNNAMORE,COOKSTOWN,600,30,40,70,140,30,50,40,40,150
95KK04,GORTALOWRY,COOKSTOWN,710,60,60,70,110,60,90,80,40,150
95KK05,KILLYCOLPY,COOKSTOWN,700,40,60,90,150,50,80,50,40,150
95KK06,KILLYMOON,COOKSTOWN,690,60,40,70,150,40,60,60,50,160
95KK07,LISSAN,COOKSTOWN,620,30,40,40,180,30,50,40,30,190
95KK08,MONEYMORE,COOKSTOWN,720,40,50,50,170,50,80,40,30,210
95KK09,NEWBUILDINGS,COOKSTOWN,730,40,70,60,140,60,70,60,30,200
95KK10,OAKLANDS,COOKSTOWN,510,30,20,50,150,30,40,40,30,140
95KK11,OLDTOWN,COOKSTOWN,840,70,60,80,170,70,70,70,50,220
95KK12,POMEROY,COOKSTOWN,710,50,50,90,130,60,70,70,40,150
95KK13,SANDHOLES,COOKSTOWN,550,20,30,40,150,20,20,40,40,190
95KK14,STEWARTSTOWN,COOKSTOWN,650,40,50,70,140,40,60,40,40,170
95KK15,THE LOOP,COOKSTOWN,670,40,30,70,160,40,60,60,50,160
95KK16,TULLAGH,COOKSTOWN,770,40,40,70,170,60,50,70,50,240
95LL01,AGHAGALLON,CRAIGAVON,1130,70,60,120,270,60,100,100,60,290
95LL02,ANNAGH,CRAIGAVON,990,80,90,110,190,70,60,70,40,280
95LL03,BALLYBAY,CRAIGAVON,840,50,70,70,160,80,90,60,40,230
95LL04,BALLYORAN,CRAIGAVON,920,50,70,80,170,80,60,80,50,280
95LL05,BLEARY,CRAIGAVON,1020,40,40,90,280,30,70,60,70,350
95LL06,BROWNSTOWN,CRAIGAVON,1110,60,60,70,300,50,70,70,70,380
95LL07,CHURCH,CRAIGAVON,890,70,60,70,180,80,80,60,40,250
95LL08,CORCRAIN,CRAIGAVON,1120,120,100,150,150,120,120,120,50,190
95LL09,COURT,CRAIGAVON,1410,110,110,170,250,110,130,120,60,350
95LL10,DERRYTRASNA,CRAIGAVON,1190,80,60,110,270,60,120,110,70,310
95LL11,DONAGHCLONEY,CRAIGAVON,900,50,60,60,240,50,60,60,40,280
95LL12,DRUMGASK,CRAIGAVON,1280,130,150,130,170,190,180,120,60,170
95LL13,DRUMGOR,CRAIGAVON,950,80,90,80,160,100,110,60,50,210
95LL14,DRUMNAMOE,CRAIGAVON,1120,80,70,150,210,80,100,110,80,250
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,1130,50,40,90,320,40,50,60,70,400
95LL16,KERNAN,CRAIGAVON,1420,70,80,100,360,100,110,90,100,420
95LL17,KILLYCOMAIN,CRAIGAVON,980,60,50,60,250,70,60,80,50,320
95LL18,KNOCKNASHANE,CRAIGAVON,1070,40,40,60,310,50,60,60,70,400
95LL19,MAGHERALIN,CRAIGAVON,1230,50,70,70,320,60,90,80,80,420
95LL20,MOURNEVIEW,CRAIGAVON,860,60,70,70,180,50,80,70,40,240
95LL21,PARKLAKE,CRAIGAVON,1200,70,80,110,250,90,110,60,60,360
95LL22,TAGHNEVAN,CRAIGAVON,1100,110,100,110,200,110,140,80,40,210
95LL23,TAVANAGH,CRAIGAVON,840,60,50,90,160,70,70,60,40,230
95LL24,THE BIRCHES,CRAIGAVON,970,40,50,80,270,50,80,50,70,300
95LL25,WARINGSTOWN,CRAIGAVON,1110,40,50,70,330,40,60,70,70,390
95LL26,WOODVILLE,CRAIGAVON,1140,100,110,130,200,100,100,90,70,250
95MM01,ALTNAGELVIN,DERRY,1480,120,110,140,290,150,140,110,80,340
95MM02,BALLYNASHALLOG,DERRY,1080,50,40,70,310,40,50,60,80,380
95MM03,BANAGHER,DERRY,900,70,70,90,200,60,80,50,60,220
95MM04,BEECHWOOD,DERRY,950,60,80,120,190,60,70,80,60,230
95MM05,BRANDYWELL,DERRY,1200,110,130,180,170,100,130,130,60,200
95MM06,CARN HILL,DERRY,1200,110,120,100,190,140,140,100,70,240
95MM07,CAW,DERRY,1030,80,70,90,220,80,80,80,50,280
95MM08,CLONDERMOT,DERRY,1230,100,90,130,260,90,90,100,60,320
95MM09,CLAUDY,DERRY,990,60,70,100,230,40,90,70,60,270
95MM10,CREGGAN CENTRAL,DERRY,1210,140,110,170,120,160,180,150,60,140
95MM11,CREGGAN SOUTH,DERRY,1100,110,90,160,110,150,150,130,50,160
95MM12,CREVAGH,DERRY,1860,300,190,200,180,250,270,200,80,190
95MM13,CULMORE,DERRY,2600,260,200,250,400,310,350,230,160,430
95MM14,EBRINGTON,DERRY,1140,110,110,110,190,100,100,70,50,320
