Councils,Variable,Date,Value ($000)
Canterbury Region,17 Investment properties,2012,0
Canterbury Region,18 Other Assets,2012,37939
Canterbury Region,19 Total Assets,2012,462377
Canterbury Region,20 Public Debt,2012,17289
Canterbury Region,21 Non-current,2012,17289
Canterbury Region,22 Current,2012,0
Canterbury Region,23 Other Liabilities,2012,21406
Canterbury Region,24 Total Liabilities,2012,38695
Canterbury Region,25 Equity,2012,423682
Canterbury Region,14 Monetary Assets,2013,14214
Canterbury Region,16 Fixed Assets,2013,410072
Canterbury Region,17 Investment properties,2013,0
Canterbury Region,18 Other Assets,2013,39858
Canterbury Region,19 Total Assets,2013,464144
Canterbury Region,20 Public Debt,2013,16584
Canterbury Region,21 Non-current,2013,16584
Canterbury Region,22 Current,2013,0
Canterbury Region,23 Other Liabilities,2013,21870
Canterbury Region,24 Total Liabilities,2013,38454
Canterbury Region,25 Equity,2013,425690
Canterbury Region,14 Monetary Assets,2014,11547
Canterbury Region,16 Fixed Assets,2014,410368
Canterbury Region,17 Investment properties,2014,0
Canterbury Region,18 Other Assets,2014,41314
Canterbury Region,19 Total Assets,2014,463229
Canterbury Region,20 Public Debt,2014,13044
Canterbury Region,21 Non-current,2014,13044
Canterbury Region,22 Current,2014,0
Canterbury Region,23 Other Liabilities,2014,21932
Canterbury Region,24 Total Liabilities,2014,34976
Canterbury Region,25 Equity,2014,428253
Canterbury Region,14 Monetary Assets,2015,9010
Canterbury Region,16 Fixed Assets,2015,410685
Canterbury Region,17 Investment properties,2015,0
Canterbury Region,18 Other Assets,2015,43196
Canterbury Region,19 Total Assets,2015,462891
Canterbury Region,20 Public Debt,2015,9799
Canterbury Region,21 Non-current,2015,9799
Canterbury Region,22 Current,2015,0
Canterbury Region,23 Other Liabilities,2015,22340
