Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554738,252423,360473,0.3765376,0.2822537,0.3740653
554739,240419,354662,0.5655424,0.3969202,0.1856423
554740,252731,354314,1.0606528,-0.1704297,0.2441526
554741,254496,364343,0.5439712,1.2793537,0.3284471
554742,248684,364485,0.6754528,1.3760724,0.1806838
554743,255407,363601,0.0981664,-1.1765036,0.0388707
554744,241970,355333,0.2686816,-0.0178734,0.0239952
554745,255372,357617,0.3436672,-0.3000527,0.1251486
554746,251353,355568,0.337504,-0.2242731,0.0210201
554748,250830,354713,0.6651808,-0.3369454,0.06763
554749,258314,360483,0.1741792,-0.0986385,0.127132
554750,252795,358263,0.8243968,0.4238419,0.1598581
554751,256488,356559,1.3359424,-0.1175834,0.176717
554752,250584,364403,1.662592,1.162693,0.7925627
554753,257284,357223,1.3554592,-0.2003427,0.3929076
554754,257697,355599,1.6738912,0.1775582,0.2768787
554755,256712,362343,1.195216,0.105767,0.1023395
554756,245598,363586,1.1058496,0.0429497,0.1390324
554757,254807,356661,0.6733984,-9.0845037,-0.0067475
554758,249408,357780,1.0442176,-8.8093041,0.2838206
554759,250091,358652,1.3225888,0.2523407,0.5188535
554761,251585,361244,1.5526816,0.0399584,0.2917542
554762,243800,355723,0.943552,-1.8664968,0.0438292
554763,258648,358541,1.1972704,-0.0079024,0.1043229
554764,250349,362732,0.88192,0.9582875,0.1519245
554765,249954,359797,1.2219232,0.1765611,0.583314
554767,249522,355528,1.0914688,0.0539178,0.3929076
554768,259148,357669,1.7838016,0.2503465,0.5694302
554769,253703,355414,7.1817376,0.145651,0.4712519
554770,255796,353656,1.6636192,0.5704156,0.4881108
554771,261534,357714,4.3939168,0.1177322,0.4881108
554772,253583,361367,0.6939424,0.4756911,0.1777087
554773,248615,362669,0.4895296,0.3680043,1.0057782
554774,251853,359709,0.6826432,0.2423697,0.5466211
554775,237616,361595,1.3523776,0.5036099,0.6557081
554776,253383,363406,0.3652384,2.2405581,0.5614966
554777,253573,357271,0.481312,1.0111338,0.3393558
554778,257747,361536,0.1505536,-0.1026269,0.4196835
554779,245623,353647,0.404272,1.172664,0.3631566
554780,255372,359418,0.6600448,0.5265432,0.5971978
554781,249282,365142,7.7805952,-0.602174,0.8877659
554782,251621,363647,0.6744256,0.1785553,0.5129033
554783,241593,361164,0.7607104,0.3500565,1.6702172
554784,244487,356678,0.476176,0.5923518,0.3810072
554785,251633,353331,0.5080192,0.3580333,0.3413392
554786,240235,356700,0.2378656,0.2383813,0.1221735
554787,244614,358520,0.9240352,0.6382184,0.1479577
554788,252741,356684,0.506992,0.8705427,0.2967127
554789,243648,357427,0.116656,0.3201435,0.6209986
554790,251463,357293,0.4597408,0.6870763,0.2233269
554791,256335,360254,0.6538816,0.4826708,0.3591898
554792,247402,363548,1.1818624,0.5704156,0.7281022
554793,239386,357247,0.3611296,0.0030657,0.3710902
554794,246324,362615,0.9805312,0.3470652,0.8173552
554795,249504,361424,0.6282016,0.2323987,0.6795089
554797,255383,361467,1.3123168,0.6860792,0.1152316
554798,254533,362557,0.6282016,-1.349999,0.3115882
554799,239268,361445,0.8274784,1.800837,0.3086131
554800,258652,362321,0.1752064,-0.1584645,0.4712519
554801,260383,358813,0.9456064,0.0030657,0.2203518
554802,243297,335672,0.3662656,0.2274132,-0.1069092
554803,250728,334275,0.0940576,-0.1983485,-0.0503823
554804,250108,336511,0.2830624,1.4339042,0.3403475
554805,249631,335593,8.4657376,3.3533217,0.2322522
554806,250774,338465,0.4926112,-0.3887946,-0.0226147
554807,247440,339117,0.6620992,-0.1754152,0.4623266
554808,252216,330788,1.7457952,-0.2262673,0.5010029
554809,244573,336573,0.2101312,-0.2482035,-0.0335234
554810,248291,322859,0.9147904,0.5315287,0.4534013
554811,262531,360407,0.7884448,3.1489162,0.6676085
554812,243320,333189,0.1813696,-0.5533161,0.2937376
554813,247240,335596,0.8500768,0.1416626,0.1876257
554814,240542,336354,0.322096,0.4457781,0.0626715
554815,252207,336718,0.23992,0.2294074,0.0259786
554816,249144,327515,0.5419168,1.3272145,0.5694302
554817,254731,336295,0.6723712,-0.0248531,0.2124182
554818,244593,332654,0.3159328,0.3101725,0.1548996
554819,251705,337768,0.876784,0.6701256,0.295721
554820,240575,338740,0.465904,-0.3289686,-0.0156728
554821,250041,342377,1.6410208,3.3303884,0.5208369
554822,250897,340897,1.5146752,2.9734266,0.0309371
554823,254591,332484,1.462288,1.5156664,0.1201901
554824,245547,337470,1.5721984,0.5903576,0.275887
554825,261303,355581,4.9321696,3.0093222,0.2292771
