FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
286,52186.42,960.288046,4181,814,310,960.288061,52186.422883,1.19804
287,41604.5709,804.531144,310,5763,0,804.531218,41604.570581,0.955113
288,1165095.17607,4832.116361,67,1119,310,4832.116319,1165095.16809,26.747012
289,624783.903342,5054.753187,4182,0,0,5054.753512,624783.891626,14.343122
290,6930987.5923,24207.260296,111,2054,310,24207.260424,6930987.55005,159.114217
291,52933.957819,1452.556408,577,554,310,1452.556378,52933.936081,1.215201
292,64663.100583,1066.134545,6062,879,310,1066.134576,64663.095487,1.484466
293,12853.159408,430.238315,311,4160,310,430.238343,12853.162872,0.295069
294,9770014.01984,50110.625228,68,0,0,50110.626088,9770014.0454,224.289558
295,25907.914917,647.905789,6063,55,310,647.905799,25907.908215,0.594766
296,54893.958568,1040.011203,578,550,310,1040.011095,54893.951911,1.260197
297,299426.98151,5935.464724,4183,283,310,5935.464548,299426.987465,6.873925
298,264349.961759,2215.50224,112,5747,0,2215.502287,264349.983424,6.068665
299,8953.594397,550.822594,312,4965,310,550.822667,8953.594508,0.205547
300,1261371.05991,7482.567368,275,1111,310,7482.567473,1261371.06392,28.957211
301,34047.789863,954.728088,579,4469,310,954.728026,34047.790938,0.781633
302,5624083.14623,34422.694631,4184,367,310,34422.694343,5624083.13895,129.1117
303,56727.121029,1269.362988,6064,1036,310,1269.363127,56727.11703,1.302281
304,39255.882854,952.433172,313,632,310,952.433133,39255.883297,0.901195
305,1037382.04629,6990.476839,113,1236,310,6990.476866,1037382.05839,23.81511
306,1046838.65726,6355.338413,69,1163,310,6355.338367,1046838.63824,24.032204
307,787625.154206,4746.812638,276,1137,310,4746.812722,787625.110635,18.081457
308,86884.624995,1339.845057,314,2028,310,1339.845169,86884.645914,1.994605
309,13239.838333,493.463013,580,4163,310,493.463082,13239.83889,0.303946
310,1512384.53692,18121.267354,6065,1098,310,18121.267106,1512384.53831,34.71971
311,335560.246435,8481.273074,4185,289,310,8481.273143,335560.257994,7.703434
312,144373.276849,2665.026159,581,0,0,2665.026139,144373.279781,3.314368
313,379575.153301,2830.822452,315,2306,310,2830.82243,379575.169857,8.713882
314,89334.874392,2063.326621,114,1525,310,2063.326739,89334.877031,2.050855
315,10530.401689,415.483841,6066,2259,310,415.483866,10530.401601,0.241746
316,32711.499744,1046.361768,582,991,310,1046.361671,32711.488719,0.750955
317,327282.322867,2519.137187,115,0,0,2519.137141,327282.302956,7.513398
318,50170.535722,1042.616242,316,0,0,1042.616236,50170.535619,1.151762
319,15673.775215,513.226585,4186,290,310,513.226523,15673.777306,0.359822
320,478667.125188,3292.304834,6067,658,310,3292.30486,478667.172414,10.98873
321,8090.68,741.328093,317,4086,310,741.328047,8090.679436,0.185737
322,259491.382057,2906.305047,116,2002,310,2906.304921,259491.359957,5.957126
323,53240.149352,1483.802099,277,0,0,1483.802012,53240.138843,1.22223
324,297041.391674,3449.505757,70,820,310,3449.505744,297041.378238,6.819159
